,Sequence Length,Embedding Dimensions,Filter Sizes,No of Filters,Dropout Probabilities,Hidden Dimensions,Batch size,Number of epochs,Min word count,Context,Threshold,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1 Score
1492889536,100,100,"(3, 5)",300,"(0.5, 0.7)",100,50,15,1,20,0.2,533,7574,370,298,0.9238746438746439,0.5902547065337763,0.641395908543923,0.6147635524798155
1492889660,100,100,"[5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,545,7544,400,286,0.9218233618233618,0.5767195767195767,0.6558363417569194,0.6137387387387387
1492889802,100,100,"[3, 5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,556,7545,399,275,0.9231908831908832,0.5821989528795811,0.6690734055354994,0.6226203807390818
1492889931,100,100,"[3, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,549,7527,417,282,0.9203418803418804,0.5683229813664596,0.6606498194945848,0.6110183639398999
1492890057,100,100,"[3, 5]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,557,7533,411,274,0.9219373219373219,0.5754132231404959,0.6702767749699158,0.6192329071706504
1492890176,100,100,"[3, 5]",200,"[0.5, 0.7]",100,50,15,1,20,0.2,546,7559,385,285,0.9236467236467236,0.5864661654135338,0.6570397111913358,0.619750283768445
1492890303,100,100,"[5, 8]",300,"[0.6, 0.8]",100,50,15,1,20,0.2,533,7562,382,298,0.9225071225071225,0.5825136612021858,0.641395908543923,0.6105383734249714
1493056431,100,100,"(3, 5)",300,"(0.5, 0.7)",100,50,10,1,20,0.2,549,7557,387,282,0.9237606837606838,0.5865384615384616,0.6606498194945848,0.6213921901528014
1493056555,100,100,"[5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,534,7514,430,297,0.9171509971509971,0.553941908713693,0.6425992779783394,0.5949860724233983
1493056692,100,100,"[3, 5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,529,7498,446,302,0.9147578347578348,0.5425641025641026,0.6365824308062575,0.5858250276854928
1493056823,100,100,"[3, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,555,7502,442,276,0.9181766381766382,0.5566700100300903,0.6678700361010831,0.6072210065645515
1493056955,100,100,"[3, 5]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,539,7510,434,292,0.9172649572649573,0.5539568345323741,0.6486161251504212,0.5975609756097561
1493057082,100,100,"[3, 5]",200,"[0.5, 0.7]",100,50,15,1,20,0.2,556,7536,408,275,0.9221652421652422,0.5767634854771784,0.6690734055354994,0.6194986072423398
1493057214,100,100,"[5, 8]",300,"[0.6, 0.8]",100,50,15,1,20,0.2,520,7553,391,311,0.92,0.570801317233809,0.6257521058965102,0.5970149253731343
1493057380,200,100,"[3, 5]",300,"[0.6, 0.8]",100,50,15,1,20,0.2,538,7534,410,293,0.9198860398860399,0.5675105485232067,0.6474127557160048,0.6048341765036538
1493058074,100,100,"[3, 5]",300,"[0.5, 0.7]",100,50,15,1,20,0.2,552,7542,402,279,0.9223931623931624,0.5786163522012578,0.6642599277978339,0.6184873949579832
1493058197,100,100,"[5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,535,7489,455,296,0.9144159544159545,0.5404040404040404,0.6438026474127557,0.5875892366831412
1493058338,100,100,"[3, 5, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,559,7484,460,272,0.9165811965811966,0.5485770363101079,0.6726835138387485,0.6043243243243244
1493058468,100,100,"[3, 8]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,561,7478,466,270,0.9161253561253562,0.5462512171372931,0.6750902527075813,0.6038751345532831
1493058597,100,100,"[3, 5]",600,"[0.5, 0.7]",200,50,15,1,20,0.2,541,7483,461,290,0.9144159544159545,0.5399201596806387,0.6510228640192539,0.5902891434806328
1493058722,100,100,"[2, 4]",300,"[0.5, 0.7]",200,50,15,1,20,0.2,538,7549,395,293,0.9215954415954416,0.5766345123258306,0.6474127557160048,0.6099773242630385
1493059784,100,100,"[3, 5]",300,"[0.3, 0.3]",100,50,15,1,20,0.2,547,7527,417,284,0.9201139601139601,0.5674273858921162,0.6582430806257521,0.6094707520891365
1493060331,100,100,"[3, 5]",300,"[0.7, 0.9]",100,50,15,1,20,0.2,510,7568,376,321,0.9205698005698005,0.5756207674943566,0.6137184115523465,0.594059405940594
1493060901,100,100,"[3, 5]",300,"[0.7, 0.9]",100,50,15,1,20,0.2,508,7578,366,323,0.9214814814814815,0.5812356979405034,0.6113116726835138,0.5958944281524927
1493221085,100,200,"[3, 5]",300,"[0.5, 0.7]",200,50,15,1,17,0.2,13,203,12,6,0.9230769230769231,0.52,0.6842105263157895,0.5909090909090909
1493226351,100,200,"[3, 5]",300,"[0.5, 0.7]",200,50,15,1,17,0.2,507,7538,406,324,0.9168091168091168,0.5553121577217963,0.6101083032490975,0.5814220183486238
